seed,n_train_catalysts,n_train_samples,n_test_samples,cv_mae_mean,train_r2,train_mae,train_rmse,test_r2,test_mae,test_rmse,hp_n_estimators,hp_learning_rate,hp_max_depth,hp_subsample,hp_colsample_bytree,hp_reg_alpha,hp_reg_lambda,hp_gamma,hp_min_child_weight
73,316,68231,2157,0.0665381628300747,0.8106375284603056,0.0283412807689471,0.053565003077146,0.5730463877236522,0.0378093540883104,0.0764763794219207,350,0.02,6,0.7,0.8,0.5,2.0,0.0,3
81,316,68228,2160,0.0665760378685189,0.9276534952080294,0.0112647153746593,0.0334150705170673,0.2634052630779304,0.0460789805026906,0.0666261228665888,350,0.05,10,0.9,0.8,0.5,2.0,0.0,3
47,316,68228,2160,0.066705296286003,0.8879931825948413,0.0171200037762725,0.0414455002556128,0.229849879991146,0.0700049481104118,0.0885502503861582,700,0.05,6,0.7,0.8,0.5,1.0,0.0,2
96,316,68228,2160,0.0663190886366901,0.86185021475577,0.0214093130460358,0.0459873245066563,0.5678435884912181,0.054257331561166,0.0695443157763486,700,0.02,6,0.7,0.8,0.0,0.5,0.0,3
35,316,68228,2160,0.0646021189253037,0.8933959700664604,0.0162405385297834,0.039865482003326,0.3373909682956071,0.0828416822169118,0.1159105770743197,700,0.05,6,0.7,0.8,0.5,1.0,0.0,3
64,316,68228,2160,0.0649154210284406,0.9074054308966308,0.014280205278961,0.0377289924819023,0.4044032513366442,0.0455369917351266,0.0703145097434176,100,0.1,10,0.7,0.8,0.5,1.0,0.0,2
39,316,68228,2160,0.0650037653423739,0.8549048380219942,0.0215685039241539,0.046645950674386,0.3466595306304287,0.0819075560689291,0.1098384918654838,700,0.02,6,0.7,0.8,0.5,2.0,0.0,1
91,316,68228,2160,0.0651362586746617,0.855802560917065,0.0217389081884394,0.0469573325294468,-0.0210358014040483,0.0557046609508146,0.1048642833503062,700,0.02,6,0.9,0.8,0.5,0.5,0.0,2
72,316,68236,2152,0.0657550548838095,0.9176286439905312,0.012445424482803,0.0355438743178048,0.6935086649293523,0.0401094026914819,0.0555445536540952,700,0.02,10,0.7,0.8,0.5,0.5,0.0,3
44,316,68228,2160,0.0685385359666036,0.95161109549794,0.0092220712063133,0.0272756947787893,0.2396961915377977,0.0598229826280621,0.0798439143114614,700,0.02,10,0.7,0.8,0.0,0.5,0.0,3
63,316,68228,2160,0.0645055914582683,0.8120958726964276,0.0274162641817358,0.0532856810780021,0.2758215514672961,0.0844594629732991,0.1106351803559784,350,0.02,6,0.7,0.8,0.5,2.0,0.0,3
46,316,68229,2159,0.0657127421835822,0.856220997729832,0.0217615070040132,0.047200097416414,-0.9277588351774436,0.0465375808740613,0.0666438676678704,700,0.02,6,0.7,0.8,0.5,2.0,0.0,2
61,316,68228,2160,0.0641155803597873,0.8615038364180256,0.0208434609814524,0.0455012809226771,0.2561140984295775,0.0856904054961048,0.1245468301530041,700,0.02,6,0.7,0.8,0.5,0.5,0.0,3
70,316,68229,2159,0.0666196885094664,0.8954877482245964,0.0163133775201677,0.0396477790081544,0.0814795052894495,0.0904077139102056,0.1342535944427586,700,0.05,6,0.7,0.8,0.5,2.0,0.0,3
95,316,68228,2160,0.0666662205083155,0.8655069003181756,0.0206641848988904,0.0456333278227983,-0.2856311549960304,0.035831434989303,0.0545238261213139,350,0.05,6,0.7,0.8,0.5,1.0,0.0,1
68,316,68228,2160,0.0669111188857332,0.868004670038818,0.020211996941622,0.0447012364653178,0.6763407906703173,0.0403904856603755,0.072134955121696,350,0.05,6,0.7,0.8,0.5,1.0,0.0,1
40,316,68228,2160,0.0666358009386988,0.8087423290463543,0.0278331304776033,0.0534623354441311,0.5369893413656153,0.0665749923309093,0.1013104934790388,350,0.02,6,0.7,0.8,0.5,0.5,0.0,1
53,316,68228,2160,0.0675797643421654,0.7790855147985041,0.0320950192517918,0.0584568339679461,0.0431008754079418,0.0515568473341057,0.0638540605755969,100,0.05,6,0.7,0.8,0.5,1.0,0.0,1
60,316,68229,2159,0.0648134332688705,0.8923205964655916,0.0163708351101609,0.0399909074333167,0.42418910476094,0.0975678892364962,0.1198177878922165,700,0.05,6,0.7,0.8,0.5,1.0,0.0,3
37,316,68228,2160,0.066357050833819,0.8109285558612405,0.0283039574858283,0.0540440917293971,0.3322199712623029,0.0291369796148956,0.049659601933046,350,0.02,6,0.7,0.8,0.0,2.0,0.0,1
36,316,68231,2157,0.0642037347868649,0.807433809378665,0.0277554884490416,0.0537023718643146,0.5929092591073933,0.0641872167930356,0.0933665076020938,350,0.02,6,0.9,0.8,0.5,2.0,0.0,3
48,316,68228,2160,0.0664028754462594,0.9235194062569836,0.012346768552094,0.0340430165955455,0.1965028363806487,0.0847979522238672,0.1132745781523174,350,0.02,10,0.9,0.8,0.0,0.5,0.0,1
10,316,68228,2160,0.0632762646688168,0.8668206178270972,0.0202113380035445,0.0451121923907573,-0.3977459033168942,0.0902260113559516,0.1276166646689195,350,0.05,6,0.7,0.8,0.5,2.0,0.0,3
15,316,68228,2160,0.0635110281431551,0.9412780507488996,0.0100094525697033,0.0298253098396808,0.1862945896477588,0.0867814353115684,0.1147787651511497,700,0.05,10,0.7,0.8,0.5,1.0,0.0,3
8,316,68228,2160,0.0672845475169297,0.8807889013466104,0.0179076907254925,0.0430087593019482,0.594625270470132,0.0255015106861218,0.0356736968396804,100,0.05,10,0.9,0.8,0.5,2.0,0.0,2
42,316,68228,2160,0.0657334387628004,0.8167030609778227,0.0272681942130406,0.0526516539185713,0.3575086842498084,0.0678843635119139,0.1038974192866182,350,0.02,6,0.9,0.8,0.5,1.0,0.0,2
9,316,68228,2160,0.065719395297483,0.8670870770838756,0.0201560698067772,0.0452537296055627,0.6038713751906692,0.0370510070794853,0.0538984957955664,350,0.05,6,0.9,0.8,0.5,2.0,0.0,3
45,316,68231,2157,0.0658520508557455,0.7822078640459007,0.0312182681519657,0.0570933610011309,0.3208854192969631,0.0903306373776062,0.1213685201016818,100,0.05,6,0.9,0.8,0.0,0.5,0.0,1
12,316,68228,2160,0.0642211519283891,0.8171835031135686,0.0272990419192667,0.0526238706439611,0.2788124514963194,0.0827439305163902,0.1082871833170195,350,0.02,6,0.9,0.8,0.5,2.0,0.0,1
3,316,68236,2152,0.0658636115622884,0.8980204712106142,0.0156296996546271,0.039544040624146,0.4370538661470667,0.0405665258099772,0.0683170760076119,100,0.05,10,0.9,0.8,0.0,0.5,0.0,3
