seed,n_train_catalysts,n_train_samples,n_test_samples,cv_mae_mean,train_r2,train_mae,train_rmse,test_r2,test_mae,test_rmse,hp_n_estimators,hp_learning_rate,hp_max_depth,hp_subsample,hp_colsample_bytree,hp_reg_alpha,hp_reg_lambda,hp_gamma,hp_min_child_weight
47,150,32395,2160,0.0872379601751182,0.870408576181868,0.0211734337331177,0.0481275826959812,0.123956254048477,0.123204260644532,0.155614859311007,700,0.05,6,0.7,0.8,0.5,1,0,2
10,150,32396,2160,0.0943390685799139,0.84323022645018,0.0260387159117916,0.0535412697258163,0.26600573844231,0.113575189437228,0.135078878843622,350,0.05,6,0.7,0.8,0.5,2,0,3
89,150,32391,2160,0.10053220608367,0.837686842251903,0.0279174146607571,0.0565719934377048,0.243227745063979,0.0936032573834292,0.125864737484649,350,0.05,6,0.7,0.8,0.5,2,0,3
66,150,32391,2160,0.0866729602778922,0.772806739397815,0.0375774349573058,0.0629566394945247,0.10814234667564,0.0834995324837868,0.0991990285816172,100,0.05,6,0.9,0.8,0.5,1,0,2
60,100,21599,2160,0.100171784588729,0.778492922999252,0.0353197009494844,0.0594137223976072,0.186094519485729,0.0975057893704038,0.122524821499912,100,0.05,6,0.9,0.6,0,2,0,2
42,100,21596,2160,0.1023369039167,0.796710741727269,0.0353567975856241,0.063894226127729,-0.761893533661921,0.088451953287902,0.112220046400627,350,0.02,6,0.7,0.6,0,2,0,1
91,100,21595,2159,0.0904678897447025,0.855127022945328,0.0236900861288324,0.0523735050474927,0.313618025991151,0.111419132262835,0.139727713086936,700,0.02,6,0.9,0.8,0.5,0.5,0,2
67,150,32392,2160,0.0889262001639176,0.778291453455322,0.0334559896972835,0.0597963177709114,0.18730735471293,0.123320449450373,0.153424488696555,350,0.02,6,0.7,0.6,0.5,1,0,3
51,150,32394,2160,0.093221050588667,0.821985593000696,0.0286992310958938,0.0581802928077143,0.140746238656876,0.0951054991591223,0.126958888355945,700,0.02,6,0.9,0.6,0.5,1,0,2
97,150,32392,2160,0.0822511247115169,0.793758819582318,0.0315697203492937,0.0593564814093291,0.211231385325909,0.116666311843763,0.139495142243504,350,0.02,6,0.9,0.8,0.5,0.5,0,3
50,150,32392,2160,0.0999984652431638,0.773019867459446,0.0378656938928002,0.0641407308410264,0.218101418644542,0.093876782378804,0.118936094463736,100,0.05,6,0.9,0.6,0,0.5,0,2
75,150,32391,2160,0.0845411838815137,0.849928089705548,0.0235914061372818,0.0488295410224421,0.299070211146206,0.0856550591723719,0.109933672103162,350,0.05,6,0.7,0.8,0.5,1,0,2
95,100,21592,2160,0.0937716734938711,0.904780142574656,0.0180435114277031,0.0427125000204992,0.0150963150899982,0.0730464062066461,0.0959232871729451,100,0.05,10,0.9,0.8,0,2,0,3
76,150,32399,2160,0.0894470798193404,0.795293006433272,0.03434220723591,0.0613984830323469,0.320885631245076,0.0922854308064284,0.114108437478352,350,0.02,6,0.9,0.8,0.5,2,0,1
52,150,32391,2160,0.0945273993220206,0.860260905538748,0.0237234936341748,0.0508247983627426,0.268936620935854,0.0914927133979275,0.117452482244414,350,0.1,6,0.9,0.6,0,1,0,3
8,150,32391,2160,0.0972935255993835,0.777114032618498,0.0382911394021495,0.0649782460463192,0.0980239054177233,0.107078524326884,0.128994301045399,100,0.05,6,0.7,0.8,0.5,2,0,3
81,150,32391,2160,0.094840888745197,0.823064610995061,0.0294718482834134,0.0590077484642483,0.331231783109378,0.0902596888961667,0.117994915978466,350,0.05,6,0.7,0.8,0.5,2,0,2
54,150,32391,2160,0.0865365194314374,0.903159620707141,0.0166775736252444,0.0412262542448193,0.346573066155096,0.110262189346331,0.134184938056523,700,0.02,10,0.7,0.8,0.5,0.5,0,2
40,150,32392,2160,0.095295529747785,0.779439024775366,0.0359698525704272,0.0652558217267043,0.336246839901274,0.054119681304579,0.0648800400058187,350,0.02,6,0.7,0.8,0.5,0.5,0,1
98,150,32394,2160,0.0916185493314073,0.873251133487517,0.0217185013768268,0.0490783059790174,0.222511195289572,0.0732775678578334,0.099585052021549,350,0.02,10,0.7,0.8,0.5,2,0,1
25,150,32396,2160,0.0912963968639862,0.781529481142443,0.035819327546141,0.0643611076347516,-0.0505197851240604,0.0936282131283442,0.110573582747504,350,0.02,6,0.9,0.8,0.5,0.5,0,3
14,150,32394,2160,0.091103747066899,0.83475426067697,0.0285214651532722,0.0539810074740357,0.504686285579745,0.0486490469041116,0.0570648920239961,100,0.1,6,0.7,0.8,0.5,1,0,1
94,150,32391,2160,0.0943468514706773,0.74791026599062,0.0412542734461128,0.069275962374582,0.264780919755129,0.0846383015120194,0.113972582348789,100,0.05,6,0.9,0.8,0.5,0.5,0,2
24,150,32391,2160,0.0885851782643768,0.808414859468731,0.031722458787943,0.0590869075647952,-0.0573287211155009,0.104593115271499,0.138638535263183,350,0.02,6,0.7,0.8,0.5,1,0,3
65,150,32396,2160,0.0923154438053876,0.886207092006466,0.0201595528329811,0.0469463006923464,0.230984616589237,0.0978588655356353,0.12630014674326,700,0.05,6,0.9,0.8,0.5,1,0,1
