model_type,feature_set,augmentation,n_train_catalysts,n_val_catalysts,n_test_catalysts,seed,r2,mae,mse,test_catalyst_0,test_catalyst_1,test_catalyst_2,test_catalyst_3,test_catalyst_4,test_catalyst_5,test_catalyst_6,test_catalyst_7,test_catalyst_8,test_catalyst_9,mae_test_catalyst_0,mae_test_catalyst_1,mae_test_catalyst_2,mae_test_catalyst_3,mae_test_catalyst_4,mae_test_catalyst_5,mae_test_catalyst_6,mae_test_catalyst_7,mae_test_catalyst_8,mae_test_catalyst_9
xgboost_old_script,all,yes,10,0,10,202,0.4430827226747621,2.105290580119291,8.104566572650016,Al2O3,BN,Co-Na2WO4/SiO2,Fe-Na2WO4/SiO2,Mn-Li2WO4/SiO2,Mn-Na2WO4/SiO2,Mn-WOx/SiO2,Ni-Na2WO4/SiO2,V-Na2WO4/SiO2,Y-Na2WO4/SiO2,0.942145874850038,1.9869302366818815,2.3163799328964068,1.7845544237367532,2.2476570564742997,3.1070233058377545,1.0488388114109533,2.511496918493951,2.504717790451315,2.6031614503595564
xgboost_old_script,all,no,10,0,10,202,0.4159235856549135,2.1890278387729216,8.499801274453928,Al2O3,BN,Co-Na2WO4/SiO2,Fe-Na2WO4/SiO2,Mn-Li2WO4/SiO2,Mn-Na2WO4/SiO2,Mn-WOx/SiO2,Ni-Na2WO4/SiO2,V-Na2WO4/SiO2,Y-Na2WO4/SiO2,1.0319475805597311,2.0120895472055094,2.2395427218631463,1.812156403462092,2.177920846798354,2.9818028635890395,2.2686577277271835,2.708293291595248,2.360031021458131,2.2978363834707825
xgboost_old_script,base+atom_numbers+support,yes,10,0,10,203,0.3558782511018767,1.9296147950681408,7.476785741595354,Hf-Na2WO4/SiO2,Mn-MgWO4/SiO2,Mn-MoOx/SiO2,Mn-Na2WO4/Al2O3,Mn-Na2WO4/MgO,Mn-SrWO4/SiO2,Na2WO4/SiO2,Tb-Na2WO4/SiO2,TiO2,Zr-Na2WO4/SiO2,2.1247491904486107,1.3616133324194837,3.3514376728623003,1.2217817825865414,1.0329942071120497,3.63301734396153,2.5301939970972365,1.4628693039494534,1.1393611857522694,1.4381299344919345
xgboost_old_script,base+atom_numbers+support,no,10,0,10,203,0.0987039476872284,2.2336944022661904,10.461993380003296,Hf-Na2WO4/SiO2,Mn-MgWO4/SiO2,Mn-MoOx/SiO2,Mn-Na2WO4/Al2O3,Mn-Na2WO4/MgO,Mn-SrWO4/SiO2,Na2WO4/SiO2,Tb-Na2WO4/SiO2,TiO2,Zr-Na2WO4/SiO2,2.0550411280934457,1.5465834216276804,3.868094907402992,1.2508252444002708,1.0326156997813465,4.778415796668441,4.208252187734125,1.1941210373297884,1.084153699223642,1.3188409004001704
xgboost_old_script,base+descriptors,yes,10,0,10,203,0.1707666293748598,2.248865356264015,9.62550985516516,Hf-Na2WO4/SiO2,Mn-MgWO4/SiO2,Mn-MoOx/SiO2,Mn-Na2WO4/Al2O3,Mn-Na2WO4/MgO,Mn-SrWO4/SiO2,Na2WO4/SiO2,Tb-Na2WO4/SiO2,TiO2,Zr-Na2WO4/SiO2,1.9056905737740024,1.3659669585139664,3.33568062144849,2.7054437402553027,0.8493673385955669,4.318914412050336,2.8874158627153546,1.6491727391547626,1.699907003806697,1.7710943123256715
xgboost_old_script,base+descriptors,no,10,0,10,203,-0.1137854430579792,2.5826221265499307,12.92851100602951,Hf-Na2WO4/SiO2,Mn-MgWO4/SiO2,Mn-MoOx/SiO2,Mn-Na2WO4/Al2O3,Mn-Na2WO4/MgO,Mn-SrWO4/SiO2,Na2WO4/SiO2,Tb-Na2WO4/SiO2,TiO2,Zr-Na2WO4/SiO2,1.9316879509996483,1.5399624701230616,3.987921649294871,3.257544822979856,0.8459549627591062,4.877704201175106,4.844525326838785,1.5862887637924263,1.3958116341282234,1.5588194834082214
xgboost_old_script,all,yes,10,0,10,203,0.2155441694040488,2.173301529083694,9.105744650207132,Hf-Na2WO4/SiO2,Mn-MgWO4/SiO2,Mn-MoOx/SiO2,Mn-Na2WO4/Al2O3,Mn-Na2WO4/MgO,Mn-SrWO4/SiO2,Na2WO4/SiO2,Tb-Na2WO4/SiO2,TiO2,Zr-Na2WO4/SiO2,1.874656907794652,1.3929071109603952,3.3676549630418973,2.35846571026025,0.6845337996935403,4.337799242812174,2.7702111638861675,1.7665340994353649,1.4159606772235216,1.7642916157289787
xgboost_old_script,all,no,10,0,10,203,-0.0524775279722531,2.479070268971639,12.21686581450471,Hf-Na2WO4/SiO2,Mn-MgWO4/SiO2,Mn-MoOx/SiO2,Mn-Na2WO4/Al2O3,Mn-Na2WO4/MgO,Mn-SrWO4/SiO2,Na2WO4/SiO2,Tb-Na2WO4/SiO2,TiO2,Zr-Na2WO4/SiO2,1.871855315571582,1.595742205646303,3.834396504550068,2.711443964783792,0.6095925468427164,4.929714641615196,4.959184981729421,1.4273901777852462,1.3743447299136056,1.4770376212784535
xgboost_old_script,base+atom_numbers+support,yes,10,0,10,204,0.350530286379296,2.142247078922198,9.305214567891824,Co-Na2WO4/SiO2,Eu-Na2WO4/SiO2,Mn-FeMoO4/SiO2,Mn-MgWO4/SiO2,Mn-MoOx/SiO2,Mn-Na2WO4/BEA,Mn-Na2WO4/SiCnf,Mn-Na2WO4/TiO2,SiO2,Y-Na2WO4/SiO2,1.954252860580605,1.59133203562763,2.534413164135207,1.6768788479765258,5.01040515696561,1.881780508591069,1.6376058686441846,2.368660301135646,0.7742359166440588,1.9929061289214427
xgboost_old_script,base+atom_numbers+support,no,10,0,10,204,0.3094054070375965,2.296979632742427,9.894427303032025,Co-Na2WO4/SiO2,Eu-Na2WO4/SiO2,Mn-FeMoO4/SiO2,Mn-MgWO4/SiO2,Mn-MoOx/SiO2,Mn-Na2WO4/BEA,Mn-Na2WO4/SiCnf,Mn-Na2WO4/TiO2,SiO2,Y-Na2WO4/SiO2,2.209897387965962,1.7491020491056972,4.776532705073003,1.6333336116428727,3.774114155032569,1.9719884671229453,1.6212267113835723,1.95643619744866,0.7765613395361989,2.50060370311279
